PI,short_title,long_title
"Thornton, Daniel",Snowshoe Hare Density,Snowshoe Hare Density
"Savan, Ram",Transgeneration Impact,Transgenerational impacts of endocrine disrupting chemicals on innate immunity
"Schindler, Daniel",White River Bulltrout,Inferring habitat use and migratory behavior of bull trout in the White River using microchemistry
"Quinn, Tom",Skagit River Chinook,Skagit River Chinook spawning phenology and multispecies salmonid distribution
"Converse, Sarah",NPRB Polar Bears,Integrated abundance and movement models for marine mammals
"Olden, Julian",Floodplain Habitats,Lateral and longitudinal occupancy of Chehalis floodplain habitats to guide restoration and conservation
"Goldberg, Caren",WSU Leopard Frogs,"Northern leopard frog population assessment and modeling, disease surveillance, and headstart optimization"
"Schindler, Daniel",Coho Size Forecasts,Improving preseason forecasts for U.S. coho salmon management units by accounting for spatially structured temporal variation in age-at-maturity
"Riordan, Donna",WSU Chemicals In Paper,Identification of Safer Alternatives to Per-and Polyfluorinated Substances in Plant Fiber-Based Food Packaging
"Robinson, Jonathan",WSU Beachwatchers 14,BEACH Program in Snohomish County
"Scheuerell, Mark",Puget Sound Rockfish,Five-year status review of yelloweye and bocaccio rockfish in Puget Sound
"Goldberg, Caren",Leopard Frog Recovery,Advancing Northern Leopard Frog Recovery in Washington through Reintroduction and Habitat Management: Phase II
"Scheuerell, Mark",Machine Learning,Advancing sustainable shellfish aquaculture through machine learning and automated data collection on fish communities
"Litle, Kate",Green Crab Control,WSG Crab Team: European Green Crab Control and Coastal Capacity Building
"Scheuerell, Mark",SGCN Assessment,Evaluating the relative effects of top-down and bottom-up factors on declines in Lake Sammamish kokanee salmon
"Olden, Julian",Suction Harvesting,Testing diver-assisted and autonomous suction harvesting to control Myriophyllum spicatum
"McInturff, Alex",CWD Outreach & Ed,"Proactive development of CWD-related outreach and education for hunters, Tribal communities, and other stakeholders to guide disease management in Washington"
"Manning,Jeff",WSU Mountain Quail,"Estimating Population Status, Size, and Limiting Factors of Mountain Quail in Eastern Washington State and Surrounding Interior Columbia River Basin Area to Inform Translocation and Habitat Restoration Efforts"
"Schindler, Daniel",WDFW Skagit Steelhead,Investigating how the dispersal of fry and distribution of redds interact to shape density-dependence in Skagit River winter steelhead
"Mauger, Guillaume",DNR Fish Passage,Supplement to Support Dynamically-Downscaled Projections for Fish Passage Planning and Design
"Wirsing, Aaron; Prugh, Laura; Gardner, Beth",WA Pred/Prey,Ungulate-predator dynamics in northern Washington
"Wirsing, Aaron; Prugh, Laura; Gardner, Beth",WA Pred/Prey,Ungulate-predator dynamics in northern Washington
"Naish, Kerry",IHN Virus In Chinook,Adaptation of IHN Virus to Pacific Northwest Chinook Salmon and Impacts on Other Salmonids
"Wood, Chelsea",Pacific Herring Ichthy,Ichthyophonus in Pacific herring
"Converse, Sarah, Beth Gardner",Gargoyle Seabird/Tetiaroa Seabird,Gargoyle Seabird Tetia
"Wheiler, Kent",DNR Sci Review 9,Work Plan for the University of Washington (Washington Cooperative Fish and Wildlife Research Unit) In Managing and Facilitating A Scientific Review Process for CMER by the Independent Scientific Peer Review Program
"Wheiler, Kent",DNR Sci Review 9,Work Plan for the University of Washington (Washington Cooperative Fish and Wildlife Research Unit) In Managing and Facilitating A Scientific Review Process for CMER by the Independent Scientific Peer Review Program
"Litle, Kate",Shoreline Toolbox,Shoreline Monitoring Toolbox - Protocol Implementation and Data Management
"Converse, Sarah",Oregon Silverspot,Restoration tools for Oregon silverspot butterfly
"Converse, Sarah",Task II BelugaPVA,Developing an Integrated Bayesian Population Viability Analysis Model for Cetaceans
"Ross, Teryl",MESA ROV,Rockfish Remotely Operated Vehicle – MESA Video Review
"Converse, Sarah",Task II Beluga Whale,Public Benefits of Cook Inlet Beluga Whale Recovery Actions: The Integration of Population Viability Analysis and Species Valuation Models
"Kolodziej, Edward",Stormwater Quality,Wa Ecoi Auto Chemicals Scoping and Alternatives
"Converse, Sarah",Guam BT Snakes,Evaluating and mitigating the effects of brown treesnakes on Guam’s birds
"Butman, David",Carbon Emiissions,Tracing the age of wetland and aquatic carbon emissions across northern latitudes.
"Moskal, Monika",CMER Riparian,"Riparian Extensive Vegetation Monitoring, Model Transferability Testing"
"Butman, David",Crossing the Divide,Crossing the divide: Inundation drives hotspots of carbon flux
"Litle, Kate",Genetic Risk Mgmt,Assessing & Minimizing Genetic Risks Of Hatchery Production of Native Species for Aquaculture
"Adams, Jennifer",Columbia River Forecast,2020 Columbia River Supply Demand Forecast
"Olden, Julian",Non-native Ecology,Ecology of Non-native Fish
"Dethier, Megan",DNR Shoreline Biota 4,Long-term Monitoring and Focus Studies in Shoreline Biota in Puget Sound: 2019-20 Data Analysis and 2020-21 Data Collection
"Yorgey, Georgine",Waste To Fuels Tech 2,Waste to Fuels Technology Partnership
"Yorgey, Georgine",Waste To Fuels Tech 2,Waste to Fuels Technology Partnership
"Converse, Sarah",Invasive Species Mgmt,Early Detection and Rapid Response: Choosing Monitoring Targets to Promote Management Effectiveness
"Converse, Sarah",Fish Communities,Assessing the Fish Community in the Chehalis River with Occupancy Models
"Converse, Sarah",Demographic Responses,Integrating Data Sources to Characterize Demographic Responses of Columbia River Salmon and Steelhead to Threats and Management Actions
"Baker, Jonathan, Harvey, Brian",Restoration Need,UW-DNR Restoration Treatment Need and Monitoring
"Olden, Julian",Skagit River Salmonids,Factors influencing productivity of native adfluvial salmonids in mainstem Skagit River reservoirs
"Converse, Sarah; Regehr, Eric",SBS Polar Bears,Assessing the precision of estimates of population vital rates for polar bears in Alaska
"Yoder, Jonathan",Skagit Basin Supply,Skagit Basin Supply and Demand Analysis
"Converse, Sarah",Puget Sound Sea Ducks,Evaluating Sea Duck Detectability in the Puget Sound Winter Ambient Monitoring Program
"Istanbulluoglu, Erkan",Chehalis Basin Culvert,"Investigating the impacts of peak flows on the performance, design, and cost of water crossing structures in the Chehalis Basin to guide comprehensive fish passage restoration"
"Converse, Sarah",Channel Island Seabirds,Long-term seabird monitoring data analysis to update Channel Islands National Park Seabird Inventory & Monitoring Program and inform management and conservation
"Converse, Sarah",Main Black Bears,Integrated Population Model for Maine Black Bears
"Litle, Kate",Green Crab Mgmt,WSG Green Crab Management
"Litle, Kate",Habitat Sensitivity,Prioritizing Sea Level Rise Exposure and Habitat Sensitivity Across Puget Sound
"Litle, Kate",Shoreline Process,"Protection and Restoration of Shoreline Process: Training, Integration of Green Shores for Homes and Shore Friendly"
"Goldberg, Caren, Piovia-Scott, Jonah",Beaver Relocations,Beaver Relocation Research Project
"Rogers, Luke",Forest Health Plan,A proposal to develop data products in support of the State’s 20-Year Forest
"Converse, Sarah",Wolf Status Review,Constructing a Modeling Tool For Wolf Status Review in Washington
"Converse, Sarah",Wolf Status Review,Constructing a Modeling Tool For Wolf Status Review in Washington
"Gardner, Beth",Hot Cold Spots,Marine Bird and Mammal Hot and Cold Spots in Washington’s Marine Waters
"Moskal, Monika",WIP Tool,Finalize Phase I and Phase II deliverables of the Wetlands Intrinsic Potential Tool
"Kahn, Peter, Lawler, Josh",COVID 19 Perceptions,COVID 19 Impacts on Natural Resource Perceptions
"Scheuerell, Mark",Task III Catch Limits,A simulation and case-study comparison of existing and spatio-temporal methods to apportion coastwide catch limits for subregional management
"Litle, Kate",Crab Team NTA,Washington Sea Grant Crab Team
"Krosby, Meade",Climate Rsk Final Rpt,Climate Risk Assessment Final Report
"Giblin, David",Burke NWCA,Burke Museum Herbarium - National Wetland Condition Assessment 2021
"Scheuerell, Mark",Shellfish Habitat,Habitat function of shellfish aquaculture ecosystems: developing new technology to understand species use of nearshore habitats.
"Scheuerell, Mark",Skagit Steelhead,Investigating how the dispersal of fry and distribution of redds interact to shape density-dependence and productive capacity in Skagit River
"Converse, Sarah",US Tufted Puffins,Monitoring Tufted Puffins in the United States
"Scheuerell, Mark",Shellfish Habitat,Habitat function of shellfish aquaculture ecosystems: developing new technology to understand species use of nearshore habitats.
"Istanbulluoglu, Erkan",DNR Road Monitoring 3,Roads Prescription Scale Effectiveness Monitoring Project